" There are a small handful of cheap places to stay in Agumbe,"	
Our guide was very informative albeit a bit fast as he talked and walked us through areas of the complex.	1
Both rooms were not dingy by any means and also had amazing views of the taj mahal.	1
 We had just had enough off paying entrance fees by that point.	0
 I thought everyone said India was a cheap place.	0
 tired and silenced by our reflectiveness we hopped into our waiting rickshaw to take us back to our hostel.	0
 If this wasn’t enough there was hundreds of rats running up and down the rails.	0
"Whilst we were waiting for our train,"	0
 masses of people sat waiting for a train.	1
 With so many trains coming and going we questioned whether they were waiting for the same train.	0
 We asked around but no-one understood us so we waited where we thought we oughta be.	1
Accommodation: Hotel Sidharta (hostel).	0
" The people were friendly enough to arrange a space for me to sit on a top bed,"	1
 was on a waiting list from Mughal Sarai (about 10km outside Varanasi) to New Delhi.	1
 together with a French guy who was also staying at the guesthouse.	1
 it was easy to take pictures without having to wait too long for your turn to pose in front of the building.	1
 from where they ruled the country.	0
 I told one of them that they always try to charge double the price and that’s why I dislike them.	0
 I decided to tell him where I was staying and asked how much it would cost.	0
 First I went outside on the main street to get some food and I had to go to the ATM as well.	1
 women are not allowed near the cremation sites.	0
 watching a bit of cricket (they allowed me to bowl a couple of times too).	1
 take a look at their shop etc.	0
 there are some temples in Varanasi but I was at a stage where I had more than enough of temples etc.	1
 they told me that I was on the waiting list (I completely forgot that) and that I couldn’t board the train.	1
" I carried all my things to this waiting room and asked this friendly-looking couple and their baby,"	1
" Luckily enough my guesthouse was pretty close to the station,"	1
" I didn’t stay with him because he lives a bit outside of the city,"	1
 study-room etc.	1
" It allowed me to meet one of the nicest,"	1
" (I really think he has a waiting list by now,"	0
" This is and will be most probably the only time in the 1AC (seating) car in India,"	1
 Such a luxury in India.	1
"The only downside of the location of our hotel in Jaipur was that since it was in the muslim part of the city,"	1
"The other issue we faced yesterday was discovering that two bottles of mineral water we bought were probably refilled,"	1
 But we were lucky enough to make a small boat ride on the Yamuna river when Taj was closed (meaning: no tourists).	1
"We met a very nice gentleman who was staying in the same hotel and had some great conversations - to say the truth,"	1
" hospital stays in Chennai),"	1
"I'd said to Molly Brown this morning that the room sharing wasn't really working too well,"	1
 but I stand by my thinking that I had on day 1 (even more so now) that she is a deliberate pain in the ass in order to end up with a room to herself without the extra cost.	1
" We waited whilst some people went to use the loo,"	1
 Halfway into the journey we stopped for lunch at a place called Sushams Haveli hotel and restaurant.	0
We handed our passports to the Indian office for stamping and was told to wait outside.	1
We reached the hotel which was a welcoming sight for most.	1
 There was even a gym and swimming pool but unfortunately both were closed for the night.	1
"We were allocated our rooms and Molly Brown had made no reference to our conversation this morning so seeing as we'd be sharing again,"	1
Chris the guy from Belgium kindly offered the spare bed in his room should the snoring get too much.	1
 He hadn't paid a single supplement either but had had a room to himself because of how the numbers worked out.	0
I chatted to lloyd who asked me how I was managing sharing with Molly Brown.	0
Back in the room I had a lovely hot shower whilst Molly was sewing her trousers flicking through the tv channels.	1
" It's almost laughable that we have a congestion charge within a few miles radius of central London,"	0
 and completely got why she'd had enough and wanted to return home.	1
" a well english-speaking Indian man told us that we were not allowed to go strait to the station,"	1
 spice and food from the people who sell it on the street- but the rule is: only go where many buy food and we didn't get any issues.	0
allowed in few licor stores.	1
(4) I went with 3 other Europeans to the Lotus Temple for the 2nd time and gained more information about the Bahai.	0
 We sat at a sleeping compartement which was more comfortable than expected.	1
 I gained the information that most Indians additionally get high during holi by Haschisch tea.	1
"(6) We left the hotel at 10 am and immidiately met some children that roughly smeared color and color water everywhere at us (eyes,"	1
" Even one Indian told me that I am a """"problem"""" and should stay in a room (and that he can offer a room for 500 Rb."	0
 But my friend has to drop off the tuktuk at a Delhi Bus station because we went to Jaipur and I had to go to the accomodation by my own in that tuktuk (after 9pm).	1
 only Indians were allowed to stay and they gave us the address of the hotel.	1
 Turns out that a full afternoon of snoozing for Molly brown wasn't enough and she snored the whole night.	1
" Just as I was managing to drift off she'd start again,"	0
 Turns it it wasn't until 0530 but it allowed me time to have a couple of coffees before heading out.	0
" I thought of Bridgend Dogs Trust where I volunteer as a dog walker,"	1
 We went back to the hotel and had an hour to kill before meeting up again.	0
 I didn't want to risk going to sleep so I got some wifi and sent some messages.	0
 The 'factory' turned out to be a series of rooms in people's homes dotted around a lot of alley ways.	0
